Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment
SRR21162416,RNA-Seq,250,12612870750,PRJNA872110,SAMN30438844,4543060475,LNCAP,"INSTITUTE OF HEALTH AND BIOMEDICAL INNOVATION; VANCOUVER PROSTATE CENTRE, QUEENSLAND UNIVERSITY OF TECHNOLOGY; UNIVERSITY OF BRITISH COLUMBIA",public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX17173539,Illumina HiSeq 2500,GSM6500925,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-07T00:00:00Z,2022-08-22T15:38:00Z,1,GSM6500925,prostate cancer,SRP393406,prostate cancer,VEH
SRR21162417,RNA-Seq,250,10682249000,PRJNA872110,SAMN30438845,3686904620,LNCAP,"INSTITUTE OF HEALTH AND BIOMEDICAL INNOVATION; VANCOUVER PROSTATE CENTRE, QUEENSLAND UNIVERSITY OF TECHNOLOGY; UNIVERSITY OF BRITISH COLUMBIA",public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX17173538,Illumina HiSeq 2500,GSM6500924,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-07T00:00:00Z,2022-08-22T15:35:00Z,1,GSM6500924,prostate cancer,SRP393406,prostate cancer,VEH
SRR21162418,RNA-Seq,250,12598899000,PRJNA872110,SAMN30438846,4234006696,LNCAP,"INSTITUTE OF HEALTH AND BIOMEDICAL INNOVATION; VANCOUVER PROSTATE CENTRE, QUEENSLAND UNIVERSITY OF TECHNOLOGY; UNIVERSITY OF BRITISH COLUMBIA",public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX17173537,Illumina HiSeq 2500,GSM6500923,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-07T00:00:00Z,2022-08-22T15:36:00Z,1,GSM6500923,prostate cancer,SRP393406,prostate cancer,VEH+Enzalutamide
SRR21162419,RNA-Seq,250,11133914250,PRJNA872110,SAMN30438847,3896739456,LNCAP,"INSTITUTE OF HEALTH AND BIOMEDICAL INNOVATION; VANCOUVER PROSTATE CENTRE, QUEENSLAND UNIVERSITY OF TECHNOLOGY; UNIVERSITY OF BRITISH COLUMBIA",public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX17173536,Illumina HiSeq 2500,GSM6500922,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-07T00:00:00Z,2022-08-22T15:34:00Z,1,GSM6500922,prostate cancer,SRP393406,prostate cancer,VEH+Enzalutamide
SRR21162420,RNA-Seq,250,9867170250,PRJNA872110,SAMN30438848,3173667050,LNCAP,"INSTITUTE OF HEALTH AND BIOMEDICAL INNOVATION; VANCOUVER PROSTATE CENTRE, QUEENSLAND UNIVERSITY OF TECHNOLOGY; UNIVERSITY OF BRITISH COLUMBIA",public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17173535,Illumina HiSeq 2500,GSM6500921,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-07T00:00:00Z,2022-08-22T15:36:00Z,1,GSM6500921,prostate cancer,SRP393406,prostate cancer,DHT+Enzalutamide
SRR21162421,RNA-Seq,250,15201043250,PRJNA872110,SAMN30438849,5506017237,LNCAP,"INSTITUTE OF HEALTH AND BIOMEDICAL INNOVATION; VANCOUVER PROSTATE CENTRE, QUEENSLAND UNIVERSITY OF TECHNOLOGY; UNIVERSITY OF BRITISH COLUMBIA",public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX17173534,Illumina HiSeq 2500,GSM6500920,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-07T00:00:00Z,2022-08-22T15:40:00Z,1,GSM6500920,prostate cancer,SRP393406,prostate cancer,DHT+Enzalutamide
SRR21162422,RNA-Seq,250,6861296000,PRJNA872110,SAMN30438850,2269288805,LNCAP,"INSTITUTE OF HEALTH AND BIOMEDICAL INNOVATION; VANCOUVER PROSTATE CENTRE, QUEENSLAND UNIVERSITY OF TECHNOLOGY; UNIVERSITY OF BRITISH COLUMBIA",public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX17173533,Illumina HiSeq 2500,GSM6500919,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-07T00:00:00Z,2022-08-22T15:29:00Z,1,GSM6500919,prostate cancer,SRP393406,prostate cancer,DHT+VEH
SRR21162423,RNA-Seq,250,13123386500,PRJNA872110,SAMN30438851,4421075917,LNCAP,"INSTITUTE OF HEALTH AND BIOMEDICAL INNOVATION; VANCOUVER PROSTATE CENTRE, QUEENSLAND UNIVERSITY OF TECHNOLOGY; UNIVERSITY OF BRITISH COLUMBIA",public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX17173532,Illumina HiSeq 2500,GSM6500918,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-07T00:00:00Z,2022-08-22T15:44:00Z,1,GSM6500918,prostate cancer,SRP393406,prostate cancer,DHT+VEH
SRR21162424,RNA-Seq,250,12055146750,PRJNA872110,SAMN30438852,4267074505,LNCAP,"INSTITUTE OF HEALTH AND BIOMEDICAL INNOVATION; VANCOUVER PROSTATE CENTRE, QUEENSLAND UNIVERSITY OF TECHNOLOGY; UNIVERSITY OF BRITISH COLUMBIA",public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX17173531,Illumina HiSeq 2500,GSM6500917,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-07T00:00:00Z,2022-08-22T15:41:00Z,1,GSM6500917,prostate cancer,SRP393406,prostate cancer,VEH+Bicalutamide
SRR21162425,RNA-Seq,250,9998072750,PRJNA872110,SAMN30438853,3418607429,LNCAP,"INSTITUTE OF HEALTH AND BIOMEDICAL INNOVATION; VANCOUVER PROSTATE CENTRE, QUEENSLAND UNIVERSITY OF TECHNOLOGY; UNIVERSITY OF BRITISH COLUMBIA",public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX17173530,Illumina HiSeq 2500,GSM6500916,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-07T00:00:00Z,2022-08-22T15:37:00Z,1,GSM6500916,prostate cancer,SRP393406,prostate cancer,VEH+Bicalutamide
SRR21162426,RNA-Seq,250,7767301000,PRJNA872110,SAMN30438854,2495252290,LNCAP,"INSTITUTE OF HEALTH AND BIOMEDICAL INNOVATION; VANCOUVER PROSTATE CENTRE, QUEENSLAND UNIVERSITY OF TECHNOLOGY; UNIVERSITY OF BRITISH COLUMBIA",public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX17173529,Illumina HiSeq 2500,GSM6500915,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-07T00:00:00Z,2022-08-22T15:31:00Z,1,GSM6500915,prostate cancer,SRP393406,prostate cancer,DHT+Bicalutamide
SRR21162427,RNA-Seq,250,11431906500,PRJNA872110,SAMN30438855,3936144058,LNCAP,"INSTITUTE OF HEALTH AND BIOMEDICAL INNOVATION; VANCOUVER PROSTATE CENTRE, QUEENSLAND UNIVERSITY OF TECHNOLOGY; UNIVERSITY OF BRITISH COLUMBIA",public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX17173528,Illumina HiSeq 2500,GSM6500914,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-07T00:00:00Z,2022-08-22T15:40:00Z,1,GSM6500914,prostate cancer,SRP393406,prostate cancer,DHT+Bicalutamide
SRR21162428,RNA-Seq,250,14424193750,PRJNA872110,SAMN30438856,5021933245,LNCAP,"INSTITUTE OF HEALTH AND BIOMEDICAL INNOVATION; VANCOUVER PROSTATE CENTRE, QUEENSLAND UNIVERSITY OF TECHNOLOGY; UNIVERSITY OF BRITISH COLUMBIA",public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX17173527,Illumina HiSeq 2500,GSM6500913,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-07T00:00:00Z,2022-08-22T15:45:00Z,1,GSM6500913,prostate cancer,SRP393406,prostate cancer,VEH+Apalutamide
SRR21162429,RNA-Seq,250,11597560250,PRJNA872110,SAMN30438857,4008581086,LNCAP,"INSTITUTE OF HEALTH AND BIOMEDICAL INNOVATION; VANCOUVER PROSTATE CENTRE, QUEENSLAND UNIVERSITY OF TECHNOLOGY; UNIVERSITY OF BRITISH COLUMBIA",public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX17173526,Illumina HiSeq 2500,GSM6500912,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-07T00:00:00Z,2022-08-22T15:35:00Z,1,GSM6500912,prostate cancer,SRP393406,prostate cancer,VEH+Apalutamide
SRR21162430,RNA-Seq,250,7353065750,PRJNA872110,SAMN30438858,2375518187,LNCAP,"INSTITUTE OF HEALTH AND BIOMEDICAL INNOVATION; VANCOUVER PROSTATE CENTRE, QUEENSLAND UNIVERSITY OF TECHNOLOGY; UNIVERSITY OF BRITISH COLUMBIA",public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX17173525,Illumina HiSeq 2500,GSM6500911,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-07T00:00:00Z,2022-08-22T15:38:00Z,1,GSM6500911,prostate cancer,SRP393406,prostate cancer,DHT+Apalutamide
SRR21162431,RNA-Seq,250,12752204750,PRJNA872110,SAMN30438859,4544452531,LNCAP,"INSTITUTE OF HEALTH AND BIOMEDICAL INNOVATION; VANCOUVER PROSTATE CENTRE, QUEENSLAND UNIVERSITY OF TECHNOLOGY; UNIVERSITY OF BRITISH COLUMBIA",public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX17173524,Illumina HiSeq 2500,GSM6500910,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-07T00:00:00Z,2022-08-22T15:43:00Z,1,GSM6500910,prostate cancer,SRP393406,prostate cancer,DHT+Apalutamide
